row_in_bag,weight
0,0.07453025877475739
1,0.06892835348844528
2,0.06381634622812271
3,0.059149134904146194
4,0.05488584563136101
5,0.050989165902137756
6,0.04742545634508133
7,0.04416411370038986
8,0.04117736220359802
9,0.03844013437628746
10,0.035929709672927856
11,0.033625490963459015
12,0.03150885924696922
13,0.029562940821051598
14,0.02777252160012722
15,0.026123754680156708
16,0.024604156613349915
17,0.02320237085223198
18,0.021908177062869072
19,0.020712248980998993
20,0.019606158137321472
21,0.018582260236144066
22,0.017633631825447083
23,0.016753949224948883
24,0.01593751274049282
25,0.015179088339209557
26,0.014473962597548962
27,0.013817821629345417
28,0.013206733390688896
29,0.012637130916118622
30,0.012105749920010567
31,0.011609607376158237
